lnY,PI,R,lnU
9.328016913,0.007807965,0.005085157,-3.231770425
9.328856916,0.00909713,0.00782586,-3.211205985
9.334764772,0.007103803,0.005409408,-3.23921027
9.331473523,0.009520255,0.00498265,-3.16281902
9.338006321,0.006987093,0.006289636,-3.120966696
9.335242893,0.002818756,0.008644654,-3.032477212
9.338736049,-0.000750892,0.001567939,-2.893749846
9.347240571,0.003187403,-0.003532399,-2.86393326
9.352546022,0.007831478,-0.001089392,-2.839734419
9.357605227,0.005371875,-0.001794371,-2.85954915
9.357947806,0.005894289,-0.006904347,-2.83896915
9.362109676,0.010232138,0.0045249,-2.834851451
9.370545998,-0.001637406,-0.00484105,-2.788675425
9.386868345,0.007437676,-0.001465924,-2.796100582
9.395872685,0.003788225,-0.00613772,-2.844178118
9.402440958,0.008426764,-0.005536,-2.867903896
9.408854535,0.007825044,-0.003669025,-2.88434746
9.41626997,0.006357076,-0.006970531,-2.912483955
9.424421624,0.010680308,-3.36689E-05,-2.92089036
9.434683124,0.005037794,-0.000413552,-2.94058835
9.439124784,0.006735195,-0.007899905,-2.97464534
9.447034025,0.01503274,-0.000917067,-3.002624269
9.452155323,0.009281984,0.004327249,-3.005008753
9.464702008,0.005193947,0.001939864,-3.053301797
9.46875168,0.008983591,0.00229381,-3.067242549
9.468884735,0.009395932,0.016302199,-3.069869848
9.475657273,-0.004110158,0.002427601,-3.111453693
9.477012345,0.009756207,0.001119482,-3.095783868
9.485966538,0.011261885,0.005461929,-3.102188139
9.493248015,0.006310174,-0.001490921,-3.066786363
9.497469442,0.012191795,-0.002334352,-3.036686616
9.493022516,0.010773641,-0.007830148,-2.999082593
9.496305997,0.012925478,-0.011242723,-2.933326284
9.486981087,0.015301144,0.026894607,-2.811679699
9.463705108,-0.023168225,0.007384916,-2.677676203
9.45022123,-0.006643524,-0.004394253,-2.489922448
9.449435065,0.004927445,-0.008266469,-2.377977735
9.453028792,0.008699708,-0.007271968,-2.342968559
9.462891413,0.007663558,-0.001702997,-2.310889683
9.468662632,0.001844654,0.000840227,-2.320631791
9.474210656,-0.000573596,-0.00298596,-2.338255196
9.480634649,0.00335256,-0.007081612,-2.355556129
9.486547534,0.007473202,-0.010444781,-2.349500404
9.486742565,0.010786389,-0.011051069,-2.405156207
9.492858786,0.011367686,-0.007038958,-2.401424524
9.49603963,0.007155618,-0.003443093,-2.406417603
9.506068587,0.003501425,-0.005669161,-2.44504735
